Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 24536743,      426.500,
Traffic, 25238418,      462.844,
BasketballDrive, 13211225,      260.938,
BQTerrace, 14588028,      274.469,
Cactus, 15785366,      258.312,
Kimono, 12350852,      271.141,
ParkScene, 14691956,      245.656,
BasketballDrill, 2712529,       61.172,
BQMall, 2857536,       60.812,
PartyScene, 3632632,       62.312,
RaceHorsesC, 2819916,       60.875,
BasketballPass, 623194,       14.328,
BlowingBubbles, 835784,       15.031,
BQSquare, 811067,       14.969,
RaceHorses, 760649,       14.469,
FourPeople, 4847931,      137.312,
Johnny, 4564089,      136.141,
KristenAndSara, 4487139,      124.469,
BasketballDrillText, 2549746,       60.938,
ChinaSpeed, 3202586,      109.688,
SlideEditing, 3150287,      111.828,
SlideShow, 864357,       83.594,
