
HM software: Decoder Version [15.0][Linux][GCC 4.8.5][64 bit] 

POC   53 TId: 0 ( I-SLICE, QP 26 ) [DT  0.070] [L0 ] [L1 ] [:,,,(unk)] 
POC   54 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   55 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   56 TId: 0 ( I-SLICE, QP 26 ) [DT  0.070] [L0 ] [L1 ] [:,,,(unk)] 
POC   57 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   58 TId: 0 ( I-SLICE, QP 26 ) [DT  0.050] [L0 ] [L1 ] [:,,,(unk)] 
POC   59 TId: 0 ( I-SLICE, QP 26 ) [DT  0.070] [L0 ] [L1 ] [:,,,(unk)] 
POC   60 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   61 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   62 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   63 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   64 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   65 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   66 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   67 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   68 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   69 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   70 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   71 TId: 0 ( I-SLICE, QP 26 ) [DT  0.070] [L0 ] [L1 ] [:,,,(unk)] 
POC   72 TId: 0 ( I-SLICE, QP 26 ) [DT  0.070] [L0 ] [L1 ] [:,,,(unk)] 
POC   73 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   74 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   75 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   76 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   77 TId: 0 ( I-SLICE, QP 26 ) [DT  0.070] [L0 ] [L1 ] [:,,,(unk)] 
POC   78 TId: 0 ( I-SLICE, QP 26 ) [DT  0.070] [L0 ] [L1 ] [:,,,(unk)] 
POC   79 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   80 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   81 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   82 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   83 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   84 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   85 TId: 0 ( I-SLICE, QP 26 ) [DT  0.050] [L0 ] [L1 ] [:,,,(unk)] 
POC   86 TId: 0 ( I-SLICE, QP 26 ) [DT  0.090] [L0 ] [L1 ] [:,,,(unk)] 
POC   87 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   88 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   89 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   90 TId: 0 ( I-SLICE, QP 26 ) [DT  0.070] [L0 ] [L1 ] [:,,,(unk)] 
POC   91 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   92 TId: 0 ( I-SLICE, QP 26 ) [DT  0.090] [L0 ] [L1 ] [:,,,(unk)] 
POC   93 TId: 0 ( I-SLICE, QP 26 ) [DT  0.060] [L0 ] [L1 ] [:,,,(unk)] 
POC   94 TId: 0 ( I-SLICE, QP 26 ) [DT  0.050] [L0 ] [L1 ] [:,,,(unk)] 
POC   95 TId: 0 ( I-SLICE, QP 26 ) [DT  0.090] [L0 ] [L1 ] [:,,,(unk)] 
POC   96 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   97 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   98 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
POC   99 TId: 0 ( I-SLICE, QP 26 ) [DT  0.080] [L0 ] [L1 ] [:,,,(unk)] 
 Total Time:        8.900 sec.
