Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 278126754,     4785.030,
Traffic, 286168075,     4707.850,
BasketballDrive, 141708060,     2783.020,
BQTerrace, 157690184,     2650.900,
Cactus, 163049993,     2800.000,
Kimono, 133036668,     2679.700,
ParkScene, 159784228,     2797.200,
BasketballDrill, 28557232,      597.930,
BQMall, 30485595,      596.370,
PartyScene, 37337622,      603.210,
RaceHorsesC, 30222637,      589.350,
BasketballPass, 6829348,      145.210,
BlowingBubbles, 8794005,      148.620,
BQSquare, 8635248,      148.390,
RaceHorses, 8065727,      147.740,
FourPeople, 54630168,     1304.070,
Johnny, 50116250,     1291.020,
KristenAndSara, 49944601,     1338.020,
BasketballDrillText, 27183017,      593.770,
ChinaSpeed, 38662351,     1072.390,
SlideEditing, 37250295,     1154.340,
SlideShow, 14037759,      809.760,
