Sequence, Bytes, Encode_time, Decode_time
PeopleOnStreet, 8363562,       95.453,
Traffic, 8626661,       97.438,
BasketballDrive, 4135542,       48.516,
BQTerrace, 4803253,       48.719,
Cactus, 4914409,       48.750,
Kimono, 4024443,       48.109,
ParkScene, 4741646,       48.578,
BasketballDrill, 855846,        9.500,
BQMall, 917748,        9.500,
PartyScene, 1159385,        9.641,
RaceHorsesC, 932864,        9.422,
BasketballPass, 215410,        2.359,
BlowingBubbles, 264643,        2.375,
BQSquare, 257315,        2.391,
RaceHorses, 252599,        2.344,
FourPeople, 1672905,       21.562,
Johnny, 1542441,       21.422,
KristenAndSara, 1537416,       21.453,
BasketballDrillText, 810436,        9.375,
ChinaSpeed, 1145665,       17.344,
SlideEditing, 1097084,       19.031,
SlideShow, 246529,       12.234,
