TS Part
Sequence                                                        , QP, kbps      , Ypsnr  , Upsnr  , Vpsnr  , EncTime
indoor1_54db_wdroff_NR50_8M_1920x1088                           , 49, 979.0133  , 28.7143, 38.9647, 41.6604, 99.609
question_IFlicker_1_1920x1088_673frames                         , 37, 9671.2133 , 32.9449, 43.2246, 45.0176, 115.953
question_IFlicker_1_1920x1088_673frames                         , 41, 5804.4933 , 30.6162, 42.4588, 43.8239, 116.031
question_IFlicker_1_1920x1088_673frames                         , 45, 3345.5600 , 28.3805, 41.1046, 42.0805, 107.453
question_IFlicker_1_1920x1088_673frames                         , 49, 1825.3467 , 26.2681, 39.4760, 39.8015, 103.156
3_outdoor_night_cross_1920x1088                                 , 37, 12382.7067, 32.1256, 41.5810, 45.6364, 117.469
3_outdoor_night_cross_1920x1088                                 , 41, 7450.3600 , 29.6873, 40.5404, 44.8266, 124.375
3_outdoor_night_cross_1920x1088                                 , 45, 4273.8133 , 27.4283, 38.9535, 43.4512, 106.703
3_outdoor_night_cross_1920x1088                                 , 49, 2326.1600 , 25.3608, 36.9628, 41.5038, 103.344
indoor_54db_wdroff_NR35_8fps_8M_1920x1088_1399frames            , 37, 7939.7467 , 31.2677, 42.3298, 44.9167, 109.016
indoor_54db_wdroff_NR35_8fps_8M_1920x1088_1399frames            , 41, 3522.8400 , 29.9008, 41.6309, 44.0234, 106.875
indoor_54db_wdroff_NR35_8fps_8M_1920x1088_1399frames            , 45, 2031.0533 , 28.7941, 40.6012, 42.8227, 100.094
indoor_54db_wdroff_NR35_8fps_8M_1920x1088_1399frames            , 49, 1211.0400 , 27.5214, 38.8946, 40.9091, 105.547
question_IFlicker_2_1920x1088_1400frames                        , 37, 3769.4667 , 31.2746, 40.8181, 49.6574, 110.781
question_IFlicker_2_1920x1088_1400frames                        , 41, 1409.9467 , 30.6051, 40.3935, 49.1183, 100.094
question_IFlicker_2_1920x1088_1400frames                        , 45, 851.1733  , 29.9959, 39.6926, 46.7128, 102.062
question_IFlicker_2_1920x1088_1400frames                        , 49, 517.7600  , 29.1206, 38.5382, 44.8980, 96.484
4_indoor_night_onePeopleMoving_1920x1088                        , 37, 4147.5600 , 37.3568, 45.5669, 46.8380, 107.219
4_indoor_night_onePeopleMoving_1920x1088                        , 41, 2792.8267 , 34.7936, 44.5796, 46.0678, 102.375
4_indoor_night_onePeopleMoving_1920x1088                        , 45, 1812.8667 , 32.1685, 42.8720, 44.2931, 100.938
4_indoor_night_onePeopleMoving_1920x1088                        , 49, 1127.6933 , 29.6547, 40.8264, 41.9379, 99.812
indoor_54db_wdroff_NR40_8fps_8M_1920x1088_1397frames            , 37, 6863.2800 , 31.5904, 42.1008, 44.6903, 107.891
indoor_54db_wdroff_NR40_8fps_8M_1920x1088_1397frames            , 41, 3381.2533 , 30.3738, 41.4488, 43.9483, 103.203
indoor_54db_wdroff_NR40_8fps_8M_1920x1088_1397frames            , 45, 2025.5067 , 29.2020, 40.4228, 42.7217, 109.078
indoor_54db_wdroff_NR40_8fps_8M_1920x1088_1397frames            , 49, 1211.0400 , 27.8083, 38.8744, 40.7695, 99.375
red_car2_1920x1088                                              , 37, 14306.2133, 32.0026, 41.4592, 43.6859, 121.828
red_car2_1920x1088                                              , 41, 8583.0133 , 29.3206, 40.5583, 42.7451, 117.391
red_car2_1920x1088                                              , 45, 4923.4000 , 26.9440, 39.4218, 41.4874, 123.094
red_car2_1920x1088                                              , 49, 2651.4000 , 24.7788, 38.0830, 40.0806, 113.031
5_outdoor_day_rain_cross_1920x1088                              , 37, 13142.4933, 32.2609, 40.7994, 42.7480, 125.234
5_outdoor_day_rain_cross_1920x1088                              , 41, 8062.8133 , 29.7256, 40.0041, 42.0586, 118.656
5_outdoor_day_rain_cross_1920x1088                              , 45, 4737.8000 , 27.3635, 38.8512, 40.9264, 112.859
5_outdoor_day_rain_cross_1920x1088                              , 49, 2638.6400 , 25.1883, 37.2423, 39.6643, 111.391
indoor_54db_wdroff_NR45_8fps_8M_1920x1088                       , 37, 5783.2533 , 32.3213, 41.8887, 44.5274, 115.062
indoor_54db_wdroff_NR45_8fps_8M_1920x1088                       , 41, 3234.3600 , 31.1492, 41.2826, 43.7725, 107.828
indoor_54db_wdroff_NR45_8fps_8M_1920x1088                       , 45, 1987.4267 , 29.8211, 40.3375, 42.7267, 104.844
indoor_54db_wdroff_NR45_8fps_8M_1920x1088                       , 49, 1193.4000 , 28.2678, 38.7459, 40.8058, 103.062
6_outdoor_day_road_fewcars_1920x1088                            , 37, 10374.4800, 32.4048, 41.7845, 44.0600, 114.078
6_outdoor_day_road_fewcars_1920x1088                            , 41, 6217.9333 , 30.1370, 40.9166, 43.4098, 108.594
6_outdoor_day_road_fewcars_1920x1088                            , 45, 3589.9867 , 27.9052, 39.4986, 42.0254, 103.875
6_outdoor_day_road_fewcars_1920x1088                            , 49, 1930.2267 , 25.7696, 38.0149, 40.2205, 110.844
outdoor_day02_1920x1088                                         , 37, 31950.1600, 29.0038, 40.9913, 43.4470, 132.672
outdoor_day02_1920x1088                                         , 41, 18058.4933, 25.9593, 40.1801, 42.9445, 119.781
outdoor_day02_1920x1088                                         , 45, 8973.5067 , 23.4193, 38.6990, 41.6406, 111.281
outdoor_day02_1920x1088                                         , 49, 3756.2000 , 21.4070, 37.0137, 39.9302, 103.906
noTS Part                                                       ,   ,           ,        ,        ,        ,
Sequence                                                        , QP, kbps      , Ypsnr  , Upsnr  , Vpsnr  , EncTime
10_outdoor_dusk_cross_lightvar_1920x1088                        , 37, 11856.8933, 32.1586, 41.9612, 42.8940, 100.859
10_outdoor_dusk_cross_lightvar_1920x1088                        , 41, 7086.8133 , 29.7984, 40.9445, 41.9362, 126.297
10_outdoor_dusk_cross_lightvar_1920x1088                        , 45, 4116.2667 , 27.6172, 39.2882, 40.3863, 123.703
10_outdoor_dusk_cross_lightvar_1920x1088                        , 49, 2252.5467 , 25.5671, 37.2486, 38.1870, 94.281
7_indoor_night_noPeople_1920x1088                               , 37, 4423.6000 , 37.1631, 46.2998, 47.7009, 97.344
7_indoor_night_noPeople_1920x1088                               , 41, 2997.1200 , 34.4814, 45.2051, 46.8070, 119.188
7_indoor_night_noPeople_1920x1088                               , 45, 1975.7200 , 31.8206, 43.1709, 45.1598, 115.047
7_indoor_night_noPeople_1920x1088                               , 49, 1252.0267 , 29.2506, 40.8126, 43.2326, 95.547
outdoor_day_8M_1920x1088_872frames                              , 37, 41834.6267, 27.9464, 40.1067, 44.2175, 128.578
outdoor_day_8M_1920x1088_872frames                              , 41, 25062.5733, 25.0600, 38.7696, 43.1241, 113.453
outdoor_day_8M_1920x1088_872frames                              , 45, 13486.2400, 22.4079, 37.1189, 41.8382, 110.172
outdoor_day_8M_1920x1088_872frames                              , 49, 5937.6667 , 20.0708, 35.3110, 40.2430, 102.109
12_indoor_day_OnePeopleSitting_1920x1088                        , 37, 4326.6400 , 36.1694, 45.0011, 46.3488, 101.125
12_indoor_day_OnePeopleSitting_1920x1088                        , 41, 2736.2133 , 33.9529, 44.0851, 45.4172, 130.297
12_indoor_day_OnePeopleSitting_1920x1088                        , 45, 1748.9333 , 31.7184, 42.1890, 43.6224, 126.562
12_indoor_day_OnePeopleSitting_1920x1088                        , 49, 1085.3733 , 29.4662, 40.0485, 41.7257, 117.078
8_outdoor_day_road_many_cars_1920x1088                          , 37, 6840.8533 , 34.2884, 45.4057, 46.9917, 140.688
8_outdoor_day_road_many_cars_1920x1088                          , 41, 3873.3467 , 31.8884, 44.5188, 46.3097, 123.656
8_outdoor_day_road_many_cars_1920x1088                          , 45, 2017.1733 , 29.7614, 43.0407, 44.7638, 119.656
8_outdoor_day_road_many_cars_1920x1088                          , 49, 996.8133  , 27.8799, 41.0625, 43.0784, 130.344
outdoor_day_cross_clip_global_light_change2_1920x1088_1000frames, 37, 14597.2400, 31.6775, 39.5728, 40.7895, 140.531
outdoor_day_cross_clip_global_light_change2_1920x1088_1000frames, 41, 8720.5067 , 29.1400, 38.7247, 40.0276, 122.109
outdoor_day_cross_clip_global_light_change2_1920x1088_1000frames, 45, 5011.5600 , 26.8647, 37.4878, 38.7448, 118.953
outdoor_day_cross_clip_global_light_change2_1920x1088_1000frames, 49, 2756.3867 , 24.7681, 36.0113, 37.2725, 106.438
13_outdoor_day_road_pixelmove_1920x1088                         , 37, 11415.3333, 31.9310, 41.2746, 43.4918, 114.875
13_outdoor_day_road_pixelmove_1920x1088                         , 41, 6794.0533 , 29.6586, 40.4340, 42.7174, 114.672
13_outdoor_day_road_pixelmove_1920x1088                         , 45, 3843.5200 , 27.4187, 39.1555, 41.6085, 107.734
13_outdoor_day_road_pixelmove_1920x1088                         , 49, 2061.4800 , 25.3413, 37.6301, 39.9689, 101.781
9_indoor_day_canteen_1920x1088                                  , 37, 10104.8267, 33.8359, 42.6403, 41.8251, 114.734
9_indoor_day_canteen_1920x1088                                  , 41, 6399.8933 , 31.2585, 41.7943, 40.8013, 103.328
9_indoor_day_canteen_1920x1088                                  , 45, 3857.6533 , 28.8353, 40.3369, 39.2155, 108.062
9_indoor_day_canteen_1920x1088                                  , 49, 2193.6400 , 26.5989, 38.4785, 37.1494, 93.609
outdoor_night_8M_1920x1088                                      , 37, 14746.8533, 31.5575, 41.8041, 44.6578, 107.234
outdoor_night_8M_1920x1088                                      , 41, 8136.0267 , 28.9665, 40.6959, 43.5844, 108.641
outdoor_night_8M_1920x1088                                      , 45, 4243.7200 , 26.7403, 39.1070, 41.8554, 106.984
outdoor_night_8M_1920x1088                                      , 49, 2066.1200 , 24.8965, 37.1551, 39.7751, 98.609
1_outdoor_day_cross_1920x1088                                   , 37, 14522.2267, 31.6822, 39.5496, 40.7537, 125.172
1_outdoor_day_cross_1920x1088                                   , 41, 8665.4800 , 29.1512, 38.6863, 39.9809, 115.734
1_outdoor_day_cross_1920x1088                                   , 45, 4963.2133 , 26.8719, 37.4717, 38.7273, 106.078
1_outdoor_day_cross_1920x1088                                   , 49, 2740.0000 , 24.7938, 36.0167, 37.2692, 99.984
hk_floor_12M_1920x1088                                          , 37, 7944.3467 , 33.7180, 42.5572, 43.9553, 112.812
hk_floor_12M_1920x1088                                          , 41, 4871.3200 , 31.5161, 41.5691, 42.9700, 104.234
hk_floor_12M_1920x1088                                          , 45, 3026.5467 , 29.3553, 40.2652, 41.3140, 98.250
hk_floor_12M_1920x1088                                          , 49, 1829.4933 , 27.1315, 38.4448, 39.3220, 105.641
outdoor_wdroff_8M_1920x1088                                     , 37, 27228.7733, 30.0573, 40.2076, 43.4862, 132.703
outdoor_wdroff_8M_1920x1088                                     , 41, 16860.5733, 27.0476, 39.0297, 42.3988, 131.016
outdoor_wdroff_8M_1920x1088                                     , 45, 9513.0400 , 24.3367, 37.4570, 40.8632, 115.844
outdoor_wdroff_8M_1920x1088                                     , 49, 4598.1867 , 21.9496, 35.7605, 39.4194, 108.000
2_outdoor_dusk_cross_1920x1088                                  , 37, 14877.1333, 31.7306, 40.0408, 41.9438, 108.016
2_outdoor_dusk_cross_1920x1088                                  , 41, 8969.4133 , 29.1447, 39.2279, 41.2113, 103.047
2_outdoor_dusk_cross_1920x1088                                  , 45, 5164.4533 , 26.7806, 38.0353, 40.0699, 97.344
2_outdoor_dusk_cross_1920x1088                                  , 49, 2853.9467 , 24.6492, 36.5992, 38.3656, 101.656
indoor1_54db_wdroff_NR50_8M_1920x1088                           , 37, 5188.8267 , 32.7418, 41.6520, 45.1278, 105.109
indoor1_54db_wdroff_NR50_8M_1920x1088                           , 41, 2796.3733 , 31.5116, 41.0742, 44.5078, 103.141
indoor1_54db_wdroff_NR50_8M_1920x1088                           , 45, 1665.6400 , 30.2131, 40.2178, 43.3329, 98.188
indoor1_54db_wdroff_NR50_8M_1920x1088                           , 49, 976.9067  , 28.7045, 38.9740, 41.6041, 90.906
question_IFlicker_1_1920x1088_673frames                         , 37, 9638.3067 , 32.9202, 43.2124, 45.0816, 105.125
question_IFlicker_1_1920x1088_673frames                         , 41, 5793.9733 , 30.6077, 42.4073, 43.8353, 104.250
question_IFlicker_1_1920x1088_673frames                         , 45, 3340.0800 , 28.3736, 41.1246, 42.0430, 97.938
question_IFlicker_1_1920x1088_673frames                         , 49, 1822.0667 , 26.2720, 39.4616, 39.8461, 93.203
3_outdoor_night_cross_1920x1088                                 , 37, 12378.2400, 32.1265, 41.5648, 45.6894, 105.625
3_outdoor_night_cross_1920x1088                                 , 41, 7440.6933 , 29.6889, 40.5324, 44.8523, 113.516
3_outdoor_night_cross_1920x1088                                 , 45, 4272.2267 , 27.4296, 38.9752, 43.5098, 97.188
3_outdoor_night_cross_1920x1088                                 , 49, 2322.8533 , 25.3528, 36.9508, 41.5796, 93.875
indoor_54db_wdroff_NR35_8fps_8M_1920x1088_1399frames            , 37, 7941.0000 , 31.2598, 42.3139, 44.8939, 99.016
indoor_54db_wdroff_NR35_8fps_8M_1920x1088_1399frames            , 41, 3512.5067 , 29.8815, 41.6388, 43.9791, 97.469
indoor_54db_wdroff_NR35_8fps_8M_1920x1088_1399frames            , 45, 2027.7200 , 28.7916, 40.5947, 42.7853, 90.703
indoor_54db_wdroff_NR35_8fps_8M_1920x1088_1399frames            , 49, 1212.4400 , 27.5265, 38.9166, 40.8443, 95.797
question_IFlicker_2_1920x1088_1400frames                        , 37, 3765.1067 , 31.2735, 40.8182, 49.7519, 101.438
question_IFlicker_2_1920x1088_1400frames                        , 41, 1410.7733 , 30.6034, 40.3726, 49.1985, 90.953
question_IFlicker_2_1920x1088_1400frames                        , 45, 851.0267  , 29.9950, 39.7029, 47.0640, 92.500
question_IFlicker_2_1920x1088_1400frames                        , 49, 515.6400  , 29.1203, 38.5095, 45.4385, 87.984
4_indoor_night_onePeopleMoving_1920x1088                        , 37, 4144.5467 , 37.3570, 45.5358, 46.8719, 97.594
4_indoor_night_onePeopleMoving_1920x1088                        , 41, 2786.4267 , 34.7899, 44.5794, 46.0269, 93.016
4_indoor_night_onePeopleMoving_1920x1088                        , 45, 1807.3733 , 32.1707, 42.8685, 44.2185, 92.094
4_indoor_night_onePeopleMoving_1920x1088                        , 49, 1125.9067 , 29.6591, 40.7601, 42.0943, 90.078
indoor_54db_wdroff_NR40_8fps_8M_1920x1088_1397frames            , 37, 6892.2533 , 31.5836, 42.0955, 44.7196, 98.250
indoor_54db_wdroff_NR40_8fps_8M_1920x1088_1397frames            , 41, 3370.4400 , 30.3551, 41.4554, 43.9133, 93.609
indoor_54db_wdroff_NR40_8fps_8M_1920x1088_1397frames            , 45, 2018.6400 , 29.1874, 40.4166, 42.6775, 99.797
