HM Part
Sequence, QP, kbps, Ypsnr, Upsnr, Vpsnr, EncTime
FourPeople,22,1874.0100,43.4055,48.0422,49.4976,1774.656
FourPeople,27,1015.9950,41.9252,46.5244,47.7366,1115.266
FourPeople,32,599.1000,39.8026,44.8877,45.9495,746.234
FourPeople,37,361.4550,37.2577,42.4599,43.6558,527.656
Johnny,22,1370.8800,43.2086,49.1518,49.8704,1900.000
Johnny,27,621.9900,42.0615,47.8547,48.4528,1050.734
Johnny,32,341.5650,40.5340,46.5001,46.9107,635.062
Johnny,37,195.0600,38.5684,44.1596,44.7964,402.844
KristenAndSara,22,1615.0050,43.7732,48.5566,49.5622,2013.984
KristenAndSara,27,793.0050,42.2835,47.1741,48.0989,1202.094
KristenAndSara,32,435.9300,40.3684,45.4518,46.3594,746.766
KristenAndSara,37,253.5750,38.1258,43.2790,44.2079,477.406
BasketballDrillText,22,2500.8625,41.8426,44.3959,45.2538,2625.109
BasketballDrillText,27,1198.4375,38.7905,41.9813,42.5092,1738.219
BasketballDrillText,32,609.2125,35.8922,39.8864,40.2434,1144.266
BasketballDrillText,37,329.9875,33.2891,37.8813,37.9121,707.391
ChinaSpeed,22,3353.3400,43.7596,46.4104,46.4174,5155.531
ChinaSpeed,27,1764.1275,39.9475,43.7858,43.4186,3621.516
ChinaSpeed,32,988.0725,36.4854,41.5669,40.8016,2466.594
ChinaSpeed,37,561.3675,33.2347,39.5447,38.1705,1632.188
SlideEditing,22,1246.3950,50.5141,48.6270,48.9188,806.016
SlideEditing,27,892.4250,46.2251,45.0199,45.2187,681.828
SlideEditing,32,664.5450,41.6815,42.4156,42.7634,592.469
SlideEditing,37,495.5700,37.0884,38.3821,39.4956,527.078
SlideShow,22,472.8750,51.0375,53.6585,54.8109,1309.344
SlideShow,27,284.5600,46.9916,50.1262,51.1333,932.906
SlideShow,32,193.6150,43.8842,47.7301,49.5506,667.078
SlideShow,37,140.1700,40.4925,44.7971,46.7951,510.766
VVenC slow Part
Sequence, QP, kbps, Ypsnr, Upsnr, Vpsnr, EncTime
BasketballDrill,22,2706.5250,41.5862,44.2216,44.9497,262.828
BasketballDrill,27,1266.0625,38.5368,41.9231,42.2621,167.547
BasketballDrill,32,625.5500,35.6455,39.8897,39.9816,105.141
BasketballDrill,37,322.9625,33.0172,38.0553,37.8559,63.281
BQMall,22,3407.9850,40.0731,43.8916,45.4489,243.766
BQMall,27,1675.8150,37.4920,41.9957,43.0209,149.547
BQMall,32,884.7300,34.5914,40.0836,40.8458,93.328
BQMall,37,479.2650,31.8047,38.2738,38.8867,59.422
PartyScene,22,8579.9250,38.4011,41.5604,42.2925,407.609
